intents,utterances
billing,"Can I change my billing cycle date?"
billing,"Can I choose a different date for my billing cycle?"
billing,"Can I receive my bills via email instead of mail?"
billing,"Can I set up autopay for my account?"
billing,"Can you explain the charges on my recent invoice?"
billing,"How do I apply a promotional code to my account?"
billing,"How do I enable automatic payments?"
billing,"How do I update my billing information?"
billing,"How can I update my credit card details?"
billing,"I was overcharged on my last bill, how can this be fixed?"
billing,"Is electronic billing available?"
billing,"Is there a late fee for delayed payments?"
billing,"What are the charges for canceling my service early?"
billing,"What are the costs for early service termination?"
billing,"What are the penalties for late payments?"
billing,"What caused the change in my monthly payment amount?"
billing,"Why did my bill increase this month?"
billing,"Why was I charged an additional fee this month?"
equipment_sales,"Are there any sales or discounts on sensors currently?"
equipment_sales,"Can I get a demo of the alarm system before purchasing?"
equipment_sales,"Can I integrate your equipment with my smart home system?"
equipment_sales,"Can I see a demonstration of the alarm system?"
equipment_sales,"Can I upgrade my existing system with new devices?"
equipment_sales,"Do you have any current promotions on equipment?"
equipment_sales,"Do you offer any wireless security solutions?"
equipment_sales,"Does your equipment compare to competitors?"
equipment_sales,"How does your equipment compare in terms of reliability?"
equipment_sales,"Is there an installation fee for new equipment?"
equipment_sales,"Is it possible to upgrade my current system?"
equipment_sales,"What are the features of your latest doorbell camera?"
equipment_sales,"What is the warranty period for your devices?"
equipment_sales,"What new features does the latest model doorbell have?"
equipment_sales,"What options are available for outdoor security cameras?"
equipment_sales,"What types of security cameras do you offer?"
equipment_sales,"What warranty comes with your security equipment?"
equipment_sales,"Are your devices compatible with smart home ecosystems?"
subscriptions,"Are there any discounts for annual subscriptions?"
subscriptions,"Can I customize my subscription plan?"
subscriptions,"Can I tailor my plan to suit my specific needs?"
subscriptions,"Does the subscription cover multiple properties?"
subscriptions,"Does the subscription include 24/7 monitoring?"
subscriptions,"How frequently are system updates rolled out?"
subscriptions,"How often are system updates provided?"
subscriptions,"Is it possible to cover two homes under one plan?"
subscriptions,"Is there a discount for paying annually?"
subscriptions,"Is there a trial period for new subscribers?"
subscriptions,"What are the benefits of the premium plan?"
subscriptions,"What features are included in the basic subscription?"
subscriptions,"What happens if I exceed my plan's limits?"
subscriptions,"What is included in the basic plan?"
subscriptions,"What subscription plans are available?"
subscriptions,"What additional features are included in the top tier plan?"
subscriptions,"What are the different plan options you offer?"
subscription_cancellations,"Are there any fees for canceling my subscription?"
subscription_cancellations,"Are there penalties for ending my plan early?"
subscription_cancellations,"Can I pause my subscription instead of canceling?"
subscription_cancellations,"Can I reinstate my subscription after canceling?"
subscription_cancellations,"Do I need to return any equipment upon cancellation?"
subscription_cancellations,"How do I cancel my subscription?"
subscription_cancellations,"How long does it take to deactivate my account?"
subscription_cancellations,"How long does it take to process a cancellation?"
subscription_cancellations,"What happens to my data after cancellation?"
subscription_cancellations,"What happens to my stored data after I end my plan?"
subscription_cancellations,"What are my options if I'm not satisfied with the service?"
subscription_cancellations,"What are the implications for my contract upon cancellation?"
subscription_cancellations,"What is the process for discontinuing my plan?"
subscription_cancellations,"What options do I have if I'm dissatisfied with the service?"
subscription_cancellations,"Will I get a refund if I cancel early?"
subscription_cancellations,"Will I receive a refund for unused service?"
tech_support_camera,"Can I add more cameras to my current setup?"
tech_support_camera,"How can I enhance the image quality of my device?"
tech_support_camera,"How can I improve the quality of my camera's image?"
tech_support_camera,"How do I adjust the motion sensitivity on my camera?"
tech_support_camera,"How do I modify motion detection settings?"
tech_support_camera,"How do I perform a factory reset on my device?"
tech_support_camera,"How do I reset my camera to factory settings?"
tech_support_camera,"How do I update my device's software?"
tech_support_camera,"How do I update the firmware of my camera?"
tech_support_camera,"Is it possible to add additional devices to my setup?"
tech_support_camera,"My camera is not recording, what should I do?"
tech_support_camera,"My camera is offline, how do I get it back online?"
tech_support_camera,"What should I do if my device goes offline?"
tech_support_camera,"What should I do if night vision mode isn't functioning?"
tech_support_camera,"What steps should I take if recording isn't working?"
tech_support_camera,"Why am I not receiving alerts from my camera?"
tech_support_camera,"Why isn't my camera feed showing up on the app?"
tech_support_camera,"Why is my camera's night vision not working?"
tech_support_doorbell,"Can I change the ringtone of my doorbell camera?"
tech_support_doorbell,"Can the doorbell camera detect packages?"
tech_support_doorbell,"Does the device have package detection capabilities?"
tech_support_doorbell,"How do I clean my doorbell camera lens?"
tech_support_doorbell,"How do I connect my doorbell camera to Wi-Fi?"
tech_support_doorbell,"How do I install the doorbell camera?"
tech_support_doorbell,"How do I share access to my doorbell camera?"
tech_support_doorbell,"My doorbell camera isn't ringing, what should I do?"
tech_support_doorbell,"What should I do if my doorbell camera is stolen?"
tech_support_doorbell,"What to do if the doorbell isn't ringing?"
tech_support_doorbell,"What's the best way to clean the lens?"
tech_support_doorbell,"Why are notifications delayed from my doorbell?"
tech_support_doorbell,"Why is my doorbell camera's audio not clear?"
tech_support_doorbell,"Why is there a delay in doorbell camera notifications?"
tech_support_alarm,"Can I control my alarm system remotely?"
tech_support_alarm,"Can I integrate my alarm system with other smart devices?"
tech_support_alarm,"How do I add a new code to my alarm system?"
tech_support_alarm,"How do I arm/disarm my alarm system?"
tech_support_alarm,"How do I change the battery in my alarm sensor?"
tech_support_alarm,"How do I test my alarm system?"
tech_support_alarm,"What should I do if my alarm system says 'tamper'?"
tech_support_alarm,"What to do if my alarm system keeps going off accidentally?"
tech_support_alarm,"Why isn't my alarm system connecting to the monitoring center?"
tech_support_alarm,"Why is my alarm system beeping continuously?"
tech_support_other,"Can I access my security system from multiple devices?"
tech_support_other,"Can I add a new user to my system?"
tech_support_other,"How do I reset my account password?"
tech_support_other,"How do I update my contact information in the system?"
tech_support_other,"How do I report a software bug in the system?"
tech_support_other,"How can I improve the overall performance of my system?"
tech_support_other,"I'm having trouble with the mobile app, what should I do?"
tech_support_other,"What are the best practices for system maintenance?"
tech_support_other,"What should I do if I'm not receiving system alerts on my phone?"
tech_support_other,"Why is my system showing an unknown error code?"
